ABLG,CommonName,CollectionDate,Sex,Runtime
8329,Pink Salmon,2001,male,late
8303,Pink Salmon,2001,male,late
8333,Pink Salmon,2001,male,late
8334,Pink Salmon,2001,male,late
8311,Pink Salmon,2001,male,late
8335,Pink Salmon,2001,male,late
8325,Pink Salmon,2001,male,late
8310,Pink Salmon,2001,male,late
8319,Pink Salmon,2001,male,late
8306,Pink Salmon,2001,male,late
8305,Pink Salmon,2001,male,late
8327,Pink Salmon,2001,male,late
8336,Pink Salmon,2001,male,late
8301,Pink Salmon,2001,male,late
8320,Pink Salmon,2001,male,late
8326,Pink Salmon,2001,male,late
8331,Pink Salmon,2001,male,late
8308,Pink Salmon,2001,male,late
8328,Pink Salmon,2001,male,late
8313,Pink Salmon,2001,male,late
8318,Pink Salmon,2001,male,late
8314,Pink Salmon,2001,male,late
8322,Pink Salmon,2001,male,late
8330,Pink Salmon,2001,male,late
8317,Pink Salmon,2001,male,late
8312,Pink Salmon,2001,male,late
8300,Pink Salmon,2001,male,late
8332,Pink Salmon,2001,male,late
8315,Pink Salmon,2001,male,late
8302,Pink Salmon,2001,male,late
8321,Pink Salmon,2001,male,late
8469,Pink Salmon,2005,female,early
8496,Pink Salmon,2005,female,early
8501,Pink Salmon,2005,female,early
8499,Pink Salmon,2005,female,early
8479,Pink Salmon,2005,female,early
8492,Pink Salmon,2005,female,early
8471,Pink Salmon,2005,female,early
8464,Pink Salmon,2005,female,early
8465,Pink Salmon,2005,female,early
8466,Pink Salmon,2005,female,early
8467,Pink Salmon,2005,female,early
8468,Pink Salmon,2005,female,early
8470,Pink Salmon,2005,female,early
8472,Pink Salmon,2005,female,early
8473,Pink Salmon,2005,female,early
8474,Pink Salmon,2005,female,early
8475,Pink Salmon,2005,female,early
8476,Pink Salmon,2005,female,early
8477,Pink Salmon,2005,female,early
8478,Pink Salmon,2005,female,early
8480,Pink Salmon,2005,female,early
8482,Pink Salmon,2005,female,early
8483,Pink Salmon,2005,female,early
8484,Pink Salmon,2005,female,early
8485,Pink Salmon,2005,female,early
8486,Pink Salmon,2005,female,early
8488,Pink Salmon,2005,female,early
8489,Pink Salmon,2005,female,early
8490,Pink Salmon,2005,female,early
8491,Pink Salmon,2005,female,early
8493,Pink Salmon,2005,female,early
8494,Pink Salmon,2005,female,early
8495,Pink Salmon,2005,female,early
8497,Pink Salmon,2005,female,early
8500,Pink Salmon,2005,female,early
8503,Pink Salmon,2005,female,early
8215,Pink Salmon,2005,female,late
8232,Pink Salmon,2005,female,late
8251,Pink Salmon,2005,female,late
8241,Pink Salmon,2005,female,late
8247,Pink Salmon,2005,female,late
8223,Pink Salmon,2005,female,late
8248,Pink Salmon,2005,female,late
8238,Pink Salmon,2005,female,late
8249,Pink Salmon,2005,female,late
8214,Pink Salmon,2005,female,late
8216,Pink Salmon,2005,female,late
8220,Pink Salmon,2005,female,late
8242,Pink Salmon,2005,female,late
8245,Pink Salmon,2005,female,late
8218,Pink Salmon,2005,female,late
8227,Pink Salmon,2005,female,late
8243,Pink Salmon,2005,female,late
8246,Pink Salmon,2005,female,late
8225,Pink Salmon,2005,female,late
8221,Pink Salmon,2005,female,late
8224,Pink Salmon,2005,female,late
8213,Pink Salmon,2005,female,late
8233,Pink Salmon,2005,female,late
8250,Pink Salmon,2005,female,late
8240,Pink Salmon,2005,female,late
8244,Pink Salmon,2005,female,late
8219,Pink Salmon,2005,female,late
8230,Pink Salmon,2005,female,late
8252,Pink Salmon,2005,female,late
8231,Pink Salmon,2005,female,late
8239,Pink Salmon,2005,female,late
8226,Pink Salmon,2005,female,late
8237,Pink Salmon,2005,female,late
8228,Pink Salmon,2005,female,late
8222,Pink Salmon,2005,female,late
8236,Pink Salmon,2005,female,late
8515,Pink Salmon,2005,male,early
8521,Pink Salmon,2005,male,early
8524,Pink Salmon,2005,male,early
8514,Pink Salmon,2005,male,early
8531,Pink Salmon,2005,male,early
8512,Pink Salmon,2005,male,early
8542,Pink Salmon,2005,male,early
8518,Pink Salmon,2005,male,early
8536,Pink Salmon,2005,male,early
8539,Pink Salmon,2005,male,early
8511,Pink Salmon,2005,male,early
8520,Pink Salmon,2005,male,early
8541,Pink Salmon,2005,male,early
8513,Pink Salmon,2005,male,early
8525,Pink Salmon,2005,male,early
8507,Pink Salmon,2005,male,early
8527,Pink Salmon,2005,male,early
8505,Pink Salmon,2005,male,early
8540,Pink Salmon,2005,male,early
8523,Pink Salmon,2005,male,early
8535,Pink Salmon,2005,male,early
8522,Pink Salmon,2005,male,early
8537,Pink Salmon,2005,male,early
8530,Pink Salmon,2005,male,early
8526,Pink Salmon,2005,male,early
8528,Pink Salmon,2005,male,early
8534,Pink Salmon,2005,male,early
8506,Pink Salmon,2005,male,early
8517,Pink Salmon,2005,male,early
8538,Pink Salmon,2005,male,early
8529,Pink Salmon,2005,male,early
8532,Pink Salmon,2005,male,early
